Comment,Description,Designator,Footprint,LibRef,Quantity

"470p","CAP CER 33PF 250V C0G/NP0 0805","C1, C11","CAP 0805_2012","CBR08C330JAGAC","2"
"470u","CAP ALUM 470UF 20% 35V RADIAL","C2, C9","CAP TH ALUM ELEC D10.00mm S5.00mm H20.00mm","EEU-FC1V471","2"
"100n","CAP CER 33PF 250V C0G/NP0 0805","C3, C6, C7, C10, C13, C16, C17, C23, C24","CAP 0805_2012","CBR08C330JAGAC","9"
"1000u","CAP ALUM 1000UF 20% 16V RADIAL","C4, C14","CAP TH ALUM ELEC D10.00mm S5.00mm H14.00mm","108CKE016MLN","2"
"10u","CAP ALUM 10UF 20% 16V RADIAL","C5, C15","CAP TH ALUM ELEC D5.00mm S2.00mm H12.50mm","860020372001","2"
"47u","CAP ALUM 47UF 20% 35V RADIAL","C8, C18","CAP TH ALUM ELEC D5.00mm S2.00mm H12.50mm","UHV1V470MDD","2"
"100u","CAP ALUM 100UF 20% 35V RADIAL","C12","CAP TH ALUM ELEC D6.30mm S2.50mm H11.00mm","UKW1V101MED","1"
"1u","CAP CER 33PF 250V C0G/NP0 0805","C19","CAP 0805_2012","CBR08C330JAGAC","1"
"22u","CAP CER 33PF 250V C0G/NP0 0805","C20, C21","CAP 0805_2012","CBR08C330JAGAC","2"
"4.7u","CAP CER 33PF 250V C0G/NP0 0805","C22, C25, C26","CAP 0805_2012","CBR08C330JAGAC","3"
"S3MB","S3MB Rectifier Diode, 1 Phase, 1 Element, 3A, 1000V V(RRM), Silicon, DO-214AA","D1, D4, D5, D8, D9, D10, D11","FP-403AF-MFG","CMP-00278-84331310-1","7"
"1N4148W","Fast Switching Diode, 100 V, 0.15 A, -65 to 150 degC, 2-Pin?SOD123, RoHS, Tape and Reel","D2, D3, D6, D7","DIOD-SOD123-2_V","CMP-2000-04932-2","4"
"Red","LED RED 0603 SMD","D12, D13, D14, D15, D16","LED 0603_1608 RED","5973005507F","5"
"600mA","","F1","Barrel Fuse","Fuse","1"
"100 Ohms @ 100 MHz","100 OHMS @ 100 MHZ 1 POWER, SIGN","FB1","FER 0805_2012","HCB 2012KF-101T30","1"
"STM32G030K6T6","Integrated Circuit","IC1","QFP80P900X900X160-32N","STM32G030K6T6","1"
"PJ-102AH","CONN PWR JACK 2X5.5MM SOLDER","J1","CUI PJ-102AH","PJ-102AH","1"
"0022272021","CONN HEADER VERT 2POS 2.54MM","J2","MOLEX KK 0022272021","0022272021","1"
"B3B-XH-A(LF)(SN)","CONN HEADER VERT 3POS 2.5MM","J3, J4, J5, J6","JST XH B3B-XH-A","B3B-XH-A(LF)(SN)","4"
"ACJS-IH","Connector","J7","ACJSIH","ACJS-IH","1"
"Header 5","Header, 5-Pin","P1","HDR1X5","Header 5","1"
"BD139G","Plastic Medium-Power Silicon NPN Transistor, 3-Pin TO-225, Pb-Free, Bulk Box","Q1, Q2, Q3, Q5","ONSC-TO-225-3-77-09","CMP-1048-01269-1","4"
"PMBT3906,235","TRANS PNP 40V 200MA TO236AB","Q4","FP-SOT23-IPC_C","CMP-14406-000050-1","1"
"PMBT3904,215","TRANS NPN 40V 0.2A TO236AB","Q6, Q7, Q8, Q9","NEXPERIA SOT-23-3","PMBT3904,215","4"
"3.3k","RES SMD 100K OHM 0.1% 1/10W 0805","R1, R2, R13, R14, R15, R16, R29, R30","RES 0805_2012","CPF0805B100KE","8"
"100k","RES SMD 100K OHM 0.1% 1/10W 0805","R3, R8, R18, R23","RES 0805_2012","CPF0805B100KE","4"
"10","RES SMD 100K OHM 0.1% 1/10W 0805","R4, R5, R6, R7, R10, R19, R20, R21, R22, R25","RES 0805_2012","CPF0805B100KE","10"
"1k","RES SMD 100K OHM 0.1% 1/10W 0805","R9, R24, R27, R28, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45","RES 0805_2012","CPF0805B100KE","19"
"5R1","RES 0.039 OHM 1% 3/4W 1206","R11, R26","RES 1206_3216","KRL1632E-M-R039-F-T5","2"
"470","RES SMD 100K OHM 0.1% 1/10W 0805","R12","RES 0805_2012","CPF0805B100KE","1"
"0","RES SMD 100K OHM 0.1% 1/10W 0805","R17","RES 0805_2012","CPF0805B100KE","1"
"Switch-3","","SW1, SW2, SW3, SW4","GT-TCB73B-H090-L1","Switch-3","4"
"NE5532DR","Dual Low-Noise High-Speed Audio Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)","U1, U3","D0008A_N","CMP-0015-00074-2","2"
"LM317D2T-TR","1.5A, 1.2V to 37V Adjustable Voltage Regulator, 3-Pin D2PAK, Tape and Reel","U2","TO-263_N","CMP-0244-00094-1","1"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U4","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
"Relay DPDT","DPDT 2 form C (CO) contacts","U5, U6, U7, U8","HK19F-SHG","Relay DPDT","4"
"Dual Gang Pot","","VR1","PTD90 Dual Gang","Dual Gang Pot","1"
